Current Area and City of Residence? ,A brief about you and your interests? ,Which of the following will best describe your current profession? ,Your startup/expertise lies in which of the following industries? (Try to be as specific as possible),What is your domain of expertise? (Try to be as specific as possible),Stage of your startup/Employer? ,Any specific connect you are currently seeking? ,Why are you seeking the above mentioned Connect? ,How do you think you can help other pushstarters? 
NEW DELHI,"I am an Educationist, aim to get myself and others empowered.","Startup Founder, Working Professional, Mentor",Education Technology,"Operations, Community building",Don't have a startup,,Building a network of educational enthusiasts like me to collaborate.,many startups on pitching and connecting with investors. Would also love to discuss the educational scenario in India and world.
Delhi,"Distributed ledger, trading, web Dev, social entrepreneurship, writing.",Just graduated and building startup founded by my friend.,"Agri Tech, Food Tech, Blockchain, Waste management, music therapy and edtech",Student and exploring,"We are ready with the product. Looking for implementing brain storming solutions to market our product but at the same time keep it in expensive, since we don't have investment.",,"We would just help to be guided and supported like a child in a family. Get suggestions from people how to sell our service and create our starting userbase without marketing.
We are truly focused on answering  "" why people need our service"" and want to circulate this message. At the same time we want to avoid any mistakes whivh effect our service.","Once i learn from community, i believe i can help other. Any other help if I could provide as my service grows I would love to provide in upcoming time. "
Chennai,Having 9+ years of Entrepreneur experience. Providing IT / ITES service worldwide,Startup Founder,"Fin Tech, Health Tech, Food Tech","Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,observation and help young buddy entrepreneurs,Share my knowledge and entrepreneur experience to all
PUNE,I am UI/UX Designer With more than 10 exp,"Working Professional, freelancer","Product Designing, web and UI/UX designing",Product Design,Don't have a startup,ui/ux expert,I am Freelancer product designer and web and UI/UX designer ,I am Creative product designer and web and UI/UX designer I can help new startups to shape there Ideas in to design and make there product working and beautiful 
Mumbai,,Startup Founder,Education,"Sales, Product Development",MVP (proof of concept is out with select customers),,Connect with like minded people and exchange more business. ,I've worked with Education sales and marketing for last 8 years with fair amount of connect in this industry. Which can surely help many start ups. 
Gurgaon,,Working Professional,Blockchain,Analytics,Don't have a startup,,Planning to start something of my own for which I'm seeking help and ideas,Current industry knowledge and awareness of the Indian startup scene is something that let's me advise people
"Juhu, Mumbai","An Industrial designer with 9 years of experience, working on his second start up.","Startup Founder, Working Professional",Product engineering ,Product Design,Early Growth (seeking seed/angel funding),,Online and offline marketing advice ,"Anything related with product, interface, packaging design"
Bangalore,,Startup Founder,"Food Tech, AI","Operations, Sales, Product Development, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",,"Need help with pricing the SaaS products right, Pitching to enterprise / MNC / Large corporates and winning deals. ","We've 500+ clients from MSME segment across Bangalore and India. If anyone wants to associate with us to leverage our network, we can connect. "
Indore,,Startup Founder,"Health Tech, AI","Operations, Product Development, Community building","Growth (multiple customer, positive revenue, making profits)",,To build network ,"Mentor ship , IT consultation "
Mumbai,,Startup Founder,AI,"Sales, Product Development, Product Design",AI consulting firm,,Network ,Expert at building ai soultions for startups 
Bangalore,,"Working Professional, freelancer",Media and media production,"Digital Marketing, Photography, Production and Direction",Don't have a startup,,Opportunities to help them ,I can help produce videos and content which can help them grow
Pune ,,"Post-Graduate Student, Startup Founder, Working Professional",Hospitality ,"Operations, Sales",Don't have a startup,na,NA,Many ways 
"Delhi-NCR, Living currently in Indirapuram, Ghaziabad","I am a 4th year engineering student. in my 2nd year of engineering, I decided that I have to do something different that too in field of travel and tourism. Since then I have been pushing myself towards learning. To keep myself occupied, I write at http://theindianrover.com/. Travel and tourism being center of my all works, i am trying to build something in Startup, Digital marketing, blogging, reality shows around the domain.","Under-Graduate Student, Startup Founder, freelancer","VR, Travel and Tourism, Game Development, Digital Marketing, Blogging","Product Development, Digital Marketing",Ideation (brainstorming around few ideas),,"I want to learn more about building a MVP out of my idea, developing it to get it eligible for the seed funding. I am also looking for team building if possible.","Whatever I have learnt in past 2 years or what I am still learning, I will be happy to share with the fellow members. Also, I think my queries will relate to many other pushstarters and they will too learn by following my #AskPS threads."
Bangalore,,Startup Founder,Sales Tech,"Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,Leads and Digital Marketing,Guiding them on Sales
Mumbai,,"Working Professional, Mentor, freelancer",E-commerce,"Operations, Sales, Digital Marketing, Community building, Strategy",Don't have a startup,,Networking and knowledge sharing,"Knowledge sharing, Mentorship"
Mumbai,Spirituality and every thing marketing and brand building ,Working Professional,Edtech and marketing ( FMCG) ,"Sales, Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,Mentorship,Help other startups with Marketing strategy and advice 
Pune,,Startup Founder,AI,"Product Development, Product Design, Graphic design","Growth (multiple customer, positive revenue, making profits)",na,Not at the moment. Want to engage with the community.,"Product feedback, sharing relevant experience in building Cutshort"
Bangalore,Getting to know how to build a start up from scratch ,Working Professional,Pet Service ,Digital Marketing,Ideation (brainstorming around few ideas),,Guidance on the idea i am building upon and how to go ahead with it ,Help them with my ideas and experience 
Ahmedabad ,"Founder at ExpoSit an AR VR 360 based Startup , an engineering student and love to do social activities on weekends :)","Under-Graduate Student, Startup Founder, freelancer","VR, AR","Operations, Sales, Product Development, Digital Marketing",Early Growth (seeking seed/angel funding),,Connection and  networking,To be active member of Fb and whatsapp group and any volunteer work needed in Ahmedabad :)
delhi,,Working Professional,Fin Tech,"Operations, Product Design",Ideation (brainstorming around few ideas),,investments,share my knowledge and create a better community
Pune,,Startup Founder,Fin Tech,Product Development,Ideation (brainstorming around few ideas),investor,Connection with people specially investors,I have good knowledge of product development. I have been engineering head for a startup and i can handle engineering team well.
Gurgaon/Bangalore/Mumbai,"Running two companies, One a Mobile development company and two A Mobile advertising company. I am full stack tech enthusiast, Likes to hack new tech over weekends.",Startup Founder,Mobile Tech,"Sales, Product Development, Digital Marketing",MVP (proof of concept is out with select customers),,"Seeking people with diverse skills who can mentor/help us with the direction of the product, Also we'll start seeking investment too thereafter.","I can help with Product strategy, Helping suggest tech stacks,How to build for the mobile. How to reach mobile users in an effective manner."
"Pune, Kharadi","Strong believer of Be the change philosophy, avid networker, nurturer who loves building new solutions. Propagator or lean and effectuation principles in entrepreneurship while focusing currently on the launch of my products in the healthcare and wellness domain","Startup Founder(Product-based), Mentor","Health Tech, Healthcare and Wellness","Product Development, Community building",Early Growth (seeking seed/angel funding),mentor into health and wellness,"Learning from their experiences, peer support, trustworthy and unbiased guidance ","Share a good network in the ecosystem and wonderful peers through the diverse segments. Can extend support wherever I can in terms of knowledge, experience and expertise through my past successes and failures both"
Pune/Kolkata,Founder - Ninja Videos,Startup Founder (Service-based),Video Marketing,"Operations, Sales, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",fb & pushconnect,Knowledge/connections,With my expertise on visual storytelling and Digital Marketing
"Wakad, Pune","Co-founder of a IT services provider comany which specialises in supporting entrepreneurs and startups. Services include web Android development, digital marketing etc. My core team is also working for building our own products.","Startup Founder(Product-based), Startup Founder (Service-based)",AI,"Product Development, Digital Marketing",Ideation (brainstorming around few ideas),mentor into tech,"Idea validation, connections","Brainstorming, tech advice, tech support - even for free when I can spare time."
"NIBM,  Pune ","Born and brought up in Kolkata,  an aeronautical engineer by chance and an entrepreneur by choice.  I have 10 years of retail experience satrting with my own chain of restaurants by the name of Todos,  which sadly failed and had to be franchised  to currently working with Airstacks network as a co-founder and sales head and along with that building my own product line under the banner name C32 media labs.  

I am extremely passionate about learning new things,  whether it be coding or talking clothes. My forte is definitely sales as I'm usually fascinated by innovation an in turn become an evangelist for one.  ",Startup Founder (Service-based),"Food Tech, AI, Blockchain, Iot ","Sales, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",pushconnect,Networking specifically,"Hoping with my experience and PR in the market,  be it Pune or Pan India I could help people with right contacts . "
"Warje, Pune","I am the founder of Digital Solitaire. We provide our services for the web development and digital marketing.

My interests are into IT and Digital Marketing Industry. ",Startup Founder (Service-based),Digital Marketing Industry ,"Sales, Digital Marketing",Early Growth (seeking seed/angel funding),digital marketing expert,"To collaborate with people in the same industry, for handling bigger projects. ","I can contribute by sharing my experiences in the market, while dealing with clients, market research and other business development aspects. "
Mumbai,Core engineering background with masters in industrial engineering and now pursuing the journey of entrepreneurship and trying to build value in the ecosystem through Chatur Ideas. ,Working Professional,"Fin Tech, Enabling startups from all the sectors by leveraging Chatur Ideas network","Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,No,Add value by bringing opportunities and leverage connections in Chatur Ideas. 
Pune,"I have around 12  years of IT experience, during this tenure have worked with MNCs like Persistent, Zensar to name few. I started my journey towards a healthy lifestyle due to my personal pain points and now working on a platform which has a team of nutritionist to help others to stay fit by prescribing customized sustainable programs.",Startup Founder(Product-based),Health Tech,Product Development,MVP (proof of concept is out with select customers),pushconnect,Networking ,IT front
Pune,"Interests : 
1. Travel
2. Entrepreneurship
","Startup Founder(Product-based), Startup Founder (Service-based)","VR, AR, AI, Blockchain, SaaS, tourism and hospitality","Operations, Sales, Product Development, Product Design",Early Growth (seeking seed/angel funding),investor,"Angel investors, collaboration","Product knowledge, Web tools building"
"Baner, Pune","I am the founder of an edtech startup Skillovate Learning Pvt Ltd (www.skillovate.com) with over 9 years of professional experience in varios domains like operations, business development, strategy, education. I like to learn about new startups and their business models. In addition, I like meeting new people.","Startup Founder(Product-based), Startup Founder (Service-based)",Edtech,"Operations, Product Development",Early Growth (seeking seed/angel funding),investor & edtech mentor,"Investors, Collaborators, Customers, Team Members",I can help by providing relevant connects and guide other startups in my area of expertise.
Pune,"I’m an engineer by, a developer by chance and an Entrepreneur by choice. 
Founded Savior at the age of 19, while I was in first year of my college. Entrepreneurship exites me and let’s me discover myself. ",Startup Founder(Product-based),"Health Tech, Blockchain","Sales, Product Development","Growth (multiple customer, positive revenue, making profits)",web development expert,Looking towards fellow entrepreneurs to help me and collaborate to scale Savior on a bigger level. ,"I can be a great help for sales and product development which fellow Pushstarters can take advantage of. 
Also have expertise in blockchain, one of the emerging tech. Where I can help ppl out "
Puducherry,"Product Designer, Founder&Design Director-Prodotype. ","Startup Founder(Product-based), Startup Founder (Service-based)",Product Design and Development,"Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",,Approach me for Product Design and Development. Client acquisition help by connecting me with required brands/companies. ,I am soon launching an exclusive Push Deal for Pushstarters. Pushstarters will be eligible for a discount of 10 percentage for the Product Design Services done by Prodotype. 
Pune,"Pavan Chaudhari - Ex-Accenturite have worked for client Google in Digital Marketing for its large scale Consumer technology segment in the US. Curently Founder of Digital Flame a Digital Marketing Agency in Pune, India",Startup Founder (Service-based),"Agri Tech, Health Tech, Food Tech",Digital Marketing,"Growth (multiple customer, positive revenue, making profits)",Pushconnect,"Networking, The wonderful AMA's & FB Lives",Assiting them in referrals and connects in the city and around
Sinhagad Road Pune,"Engineer. Educationist. Entrepreneur.

Working towards creating an Ecosystem for developing Life SKills through phygital activities for the young mind.",Startup Founder(Product-based),Education ,Product Design,Early Growth (seeking seed/angel funding),product development expert,Growth. Networking. Marketing,Sharing my experiences
Pune ,A 22 year old Entrepreneur. Cofounded a chai startup. Currently working on an environment based startup. A tedX Speaker and also take Branding Workshops. ,"Post-Graduate Student, Startup Founder(Product-based)",Social Entrepreneurship,"Sales, Product Development, Product Design",Ideation (brainstorming around few ideas),offline store expert & pushconnect,Connections ,I have a lot of investor connections. Might be useful for the community. 
Pune,,Startup Founder (Service-based),Travel and events,"Operations, Digital Marketing",Early Growth (seeking seed/angel funding),travel expert,Help in the ways to interact with other people and take their advice in overall growth of my company ,Bu sharing the knowledge in different aspects which i have gained through my journey 
Pune,High Ticket Closer | Seed Investor | Data Storyteller | Visualisation Artist |  UX Designer | Visiting faculty ,"Startup Founder (Service-based), Working Professional","Fin Tech, Food Tech, My expertise is in the representation of Data","Sales, Product Design, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",Pushconnect,Be accessible to the startup ecosystem. ,"Help them with both product ideation, design, digital marketing and sales. "
Mumbai,"PhD at IIT B Monash, Founder- ForeignAdmits, Viaspeak & PHABIO (upcoming); Mentor - Atal Innovation Mission.
Areas I am working on- Education technology, Events & Speaker, SAAS, Waste management, PHA, Plastic replacement.","Post-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based), Mentor, Freelancer","Food Tech, Education Technology, SAAS, ","Sales, Product Design, Digital Marketing, Fund Raising",MVP (proof of concept is out with select customers),,"Technology & Marketing support, Partnerships with related businesses, access to communities","Network, Fundraising guidance, Branding, Product development ideation"
Pune,"I'm into Digital marketing and Content writing since 3 years. 

I consult startups regarding Social media marketing for FREE. 

I'm launching my Digital agency named - ""Digital Keval"" by January 2019 - website will be - www.digitalkeval.com

Every thing about Digital Marketing and Cryptocurrencies fascinates me. ","Startup Founder (Service-based), Working Professional, Mentor, Freelancer","Blockchain, Digital Marketing",Digital Marketing,"Growth (multiple customer, positive revenue, making profits)",pushconnect,"Will love to connect with Startup founders, also will love connecting with fellow digital marketers and Cryptocurrency geeks. ",Through connecting entrepreneurs. 
Pune,Art entrepreneur and tech consultant.. ,"Startup Founder(Product-based), Freelancer","Art, Design and Tech.. ","Operations, Product Development, Digital Marketing, Community building",MVP (proof of concept is out with select customers),art expert,Partnering with interesting people for growth and business advice.. ,"Adept in quote a few programming languages and I am building a clothing company from ground up so lot of on-ground experience in the art, design, printing and clothing industry.. "
"Colaba, Mumbai.","An Entrepreneur, Fund raiser and an evangelist of Indian startup ecosystem.","Post-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based), Working Professional, Angel Investor, Mentor, VC, Freelancer","Agri Tech, Fin Tech, Health Tech, Blockchain, Fashion, Ecommerce, Lifestyle, Hospitality","Operations, Sales, Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",,"Connection, Hiring, Awesome feeds. ","Connections, Mentoring, Talent development"
Pune,"Entrepreneur at heart, Vishal has started his first venture named Fizzible when he was in the 3rd year of engineering. Give him a problem and he will come up with the solution. Other than business endeavors, a tech savvy guy follows news, economics and finance market. He is an open minded guy and loves to talk about politics, current affairs, science, music and sports.",Startup Founder (Service-based),"Blockchain, Golang","Operations, Sales, Digital Marketing",Early Growth (seeking seed/angel funding),pushconnect & investor,Networking and customer referral,Can help them to connect with relevant people in my network
Pune,I have completed my Masters in Mechanical & Started a venture in EdTech Space.,"Post-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based)",Ed Tech,"Product Development, Product Design, Community building",Early Growth (seeking seed/angel funding),investor,Contributing to PushStart Community & Actively looking for Angel Investment,"Great platform to communicate with fellow entrepreneurs & contributing the leads, validate ideas & connections to share..."
Pune,"Start-up enthusiast, love playing guitar","Startup Founder(Product-based), Startup Founder (Service-based)","Health Tech, Food Tech, AI",Product Design,Early Growth (seeking seed/angel funding),fitness industry expert,Useful connects and knowledge as and when necessary,Useful connects and knowledge as and when necessary
Pune,"Cofounder at Sector 7 | Major Domains of Business: Technology, Brand Marketing, Coworking & Incubations",Startup Founder (Service-based),"Real Estate, Technology Solution, Marketing","Operations, Sales, Digital Marketing, Community building","Growth (multiple customer, positive revenue, making profits)",NA,Helping out fellow entrepreneurs ,"Requirements and mentorship in technology, brand marketing, coworking & business strategy"
Thane west ,"An avid reader and learner. Working on a project of mine which is towards sustainability. My interests would be brand management, strategic management and product development. ","Our product is still under research, thus I consider myself as a learner as of now. But to clarify yes I am a graduate.",Food Tech,Operations,Ideation (brainstorming around few ideas),,Connecting with like minded people I can learn from and grow along,"By sharing the insights and challenges and lessons I learnt from my mistakes while working on my projects. I've just started my journey, rather than teaching anyone anything I would love to learn from them."
Pune,I help purpose driven startups and individuals with Digital Marketing and Growth Hacking.,"Startup Founder (Service-based), Freelancer","Food Tech, VR, AR, AI","Digital Marketing, Community building",Early Stage. But we're not looking for funding,NA,I offer help. ,I can help them with Marketing and Growth Hacking consultation. I do consultation for free. :)
Noida,"Tried two businesses - one in college, one after wards. Shut both off. Now have a Training & Consulting firm on Design Thinking, Businesses Models, Entrepreneurial Mindset, etc. ICF approved Business Relationship Coach. Also working on a social enterprise, right now at conceptualisation stage. Also a faculty for Entrepreneurship at Symbiosis & Head of Entrepreneurship & Innovation Cell ",Startup Founder (Service-based),"Learning & Development, Education, Design Thinking ","Design Thinking, Busines Model Innovation, Business Relationship Coaching ",Ideation (brainstorming around few ideas),,Connections. Business contacts. Guidance /inputs on the social enterprise idea I am working on. ,"Have been mentoring some early stage startups. Am a startup mentor at Atal Incubation Centre established by NITI AAYOG at RTNU Bhopal. I can help with the training /consulting /coaching needs related to Business Model, Design Thinking, Business Relationship. Also help with interns for early stage startups. "
Mumbai,"Exports, E-commerce, Trading",Startup Founder(Product-based),Agri Trade,"Operations, Sales",Ideation (brainstorming around few ideas),,Promote my brand of coffee,"Word of mouth, Consumption, connects"
Pune,Techie by heart,"Startup Founder(Product-based), Working Professional","Fin Tech, AI",Product Development,Early Growth (seeking seed/angel funding),NA,No,Networking and pdt Dev help
@gurugram,"Automobile passionate ,interest in sales and ops ",Working Professional,Service,"Operations, Sales, Product Development","Growth (multiple customer, positive revenue, making profits)",,Pushtalent is an imaging plateform,I can help in sales and operations 
INDORE,"I am Co--founder at Recast Studio. My area of interests are prodcut development, social media marketing, technology ",Startup Founder(Product-based),"Web developement, Product developement, ","Operations, Product Development",Early Growth (seeking seed/angel funding),,"Product feedback, Networking",I can help the others to plan their product development and choose the right technology for the right work
Pune,"Cloud, AI, Entrepreneurship, mindful awareness","Startup Founder(Product-based), Startup Founder (Service-based), Angel Investor","AI, Cloud","Sales, Product Development, Product Design, Digital Marketing",Early Growth (seeking seed/angel funding),pushconnect,Networking,Mentoring how to build teams 
Thane West,"A sports enthusiast with love of food. Loce reading and having logical conversation. Have started loving the idea if entrepreneurship from past few years. 
I love book and the need to collect them is also a thing for me. ",Startup Founder(Product-based),"Agri Tech, Food Tech","Operations, Sales, Product Design, Digital Marketing, Community building",Ideation (brainstorming around few ideas),,Networking and connecting with like minded people. ,"My connectios, expertise in my area. "
"Viman nagar, Pune","Startups, New ideas, Tech","Startup Founder (Service-based), Working Professional, Mentor","Fin Tech, Health Tech, AR, AI, Blockchain","Operations, Product Development, Product Design","Growth (multiple customer, positive revenue, making profits)",pushconnect,Networking with great minds,Learn and share experience
"Sinhagad road, Pune","I am harshal graduated last year, I have been part of Nagpur startup group from past 3 years and also part of Tie Nagpur community from 3 years. Currently running a startup in STEM education and robotics field.  ","Under-Graduate Student, Working Professional",Product Design,"Product Development, Product Design",MVP (proof of concept is out with select customers),stem & robotics expert,Yess. As we are a product company and we want to take to to mass scale. I would appreciate the help in mentoring and to share contacts as for production point of view and also STEM content point of view,I can help with my contacts here in Pune and as well in Nagpur as I am part of Nagpur startup and Tie Nagpur.
"Hadapsar, Pune",FullStack Developer and Co founder at Recast Studio,Startup Founder(Product-based),AI,Product Development,Early Growth (seeking seed/angel funding),,"Product feedback, Connections, Startup fundas","I can help on technical front, Anything related to django, python, rails, reactjs angular"
Pune,"Startup Strategist. Thinking Rationalist. Die-Hard Optimist. Animal Lover. Avid Golfer. Father. Family Man. And now, Founding CEO of the makers of the finest fruit spreads in India.",Startup Founder(Product-based),Food Manufacturing,"Operations, Sales, Product Development, Product Design, Digital Marketing, Community building, Running a P&L",Early Growth (seeking seed/angel funding),expert in logistics,Distribution,I am a startup consultant with multiple startups under my belt.
"Baner, Pune","I am a lawyer tirned Community Head. I am properly from Nagpur, now based in Pune. I work at The Daftar, taking care of smooth running and upkeep of the space.i like networking, learning new things and working!",Working Professional,Service / coworking industry ,"Operations, Sales, Community building",Early Growth (seeking seed/angel funding),marketing expert,Networking and Visibility.,By connecting them with relevant people in ecosystem
Pune,"A parallel entrepreneur have always run 2 or more companies together, last 20 years.

Profesional Interests - 
Mentor startups, 
Connect entrepreneurs 
Partner with companies on a Win Win strategies 

Personal interests - 
Explore new locations 
Walking 
Trekking 
Cycling ","Startup Founder(Product-based), Startup Founder (Service-based), Mentor","VR, AR, Design ","Operations, Sales, Product Development","Growth (multiple customer, positive revenue, making profits)",graphic designing & content writing expert,"Connections
Product Idea Validation ","Mentor
Validate ideas
Offer connects"
Pune,Digital Analytics and Marketing Technologies,"Startup Founder(Product-based), Startup Founder (Service-based)","AI, Analytics, Machine Learning","Sales, Digital Marketing, Customer and Marketing Analytics","Growth (multiple customer, positive revenue, making profits)",pushconnect & whatsapp,"Networking for business growth prospects, customer acquisition","Share domain and subject matter expertise in areas of analytics and marketing technologies, mentor early stage start ups"
"Hinjewadi, Pune",Interested in Digital marketing and Ecommerce ,"Startup Founder (Service-based), Working Professional","Food Tech, AI","Operations, Digital Marketing","Growth (multiple customer, positive revenue, making profits)",growth hacking expert,Love to get ideas on business growth.,Can help with digital marketing strategies. 
"Pune: Origin, Varanasi currently","I am an undergraduate at IIT(BHU) Varanasi presently in my 3rd year.I am very active in college and am presently into E Cell and into Core Team of Alumni Cell.In my last summer, I interned in a Pune based startup and previously in an industry based in Pune.I have plans to start up a company on technologies such as Blockchain, IoT, AI after my graduation and have also tried a startup at my college.","Under-Graduate Student, Startup Founder (Service-based)","Marketing, Sales, Operation","Operations, Sales",Worked on my startup for 3 months but changed my priorities later but planning for a new startup soon. ,"blockchain, iot expert","Networking, Mentorship on specific areas.","I can contribute to projects of which I have skills, I can help in connecting other Pushstarters to relevant connections since I am a localite of Pune and very well versed with the city demographics. Also, may help other Pushstarters for mentorship on areas in which I have interned or have worked on."
Pune,"An undergraduate management student from Symbiosis with keen interest in business, entrepreneurship and believer of power of networking.",Under-Graduate Student,"FMCG, Advertising.","Sales, Digital Marketing",Don't have a startup,NA,"I plan to start my own start up very soon. So, pushstart is helping me to get acquainted with current scenario and business environment. 
Just a lot of opportunities and expert guidance on any topic.

I expect to make a lots of professional and business relationships. Nothing more, nothing less","Even though I don't have any company right now, i do have a good network and I plan to refer people and help others."
Pune,I am a recent graduate making my way into the startup ecosystem. My interests lie becoming an entrepreneur in the food industry.,Working Professional,Food Tech,"Operations, Community building","Growth (multiple customer, positive revenue, making profits)",food industry expert,Networking window,"We at sector 7 not only offer a coworking space but also a host of other services ike branding, tech support, marketing,etc and hence, believe that working at sector 7 is also working with sector 7."
"HSR Layout, Bangalore","People call me ""The Man with Contacts"" . I'm interested in Growth Marketing, Influencer Marketing and Startup Consultancy","Startup Founder(Product-based), Startup Founder (Service-based), Working Professional, Freelancer",Adtech,"Digital Marketing, Community building","Sold one company, on to another",,Just healthy discussions,I can connect them with others
Kochi,"Guerllia Marketing, Creative Marketing, Growth Hacking, Psychology enthusiast who is researching the use of psychology in marketing, branding,  organizational behavior etc. ",Working Professional,"Food Tech, AI","Digital Marketing, Community building",Early Growth (seeking seed/angel funding),,"Resources, Connections,  Advise","Been adding value in the field of marketing, growth hacking and connections adding. Also, conflict resolution and other things. "
Mumbai,"I am a 4th year UG Student at IIT Bombay. Carrying a crave for novelty and a zeal for learning, I am a Freelance Event Manager, and co-founder of E^4 - service based startup connecting sponsors to college fest managers, in a mutual funds model. I have been Events Head of The Entrepreneurship Cell of IITB, and an alumni of LWT's Startup Nayak Program.","Under-Graduate Student, Startup Founder (Service-based), Freelancer",Event Management,"Operations, Digital Marketing, Community building",MVP (proof of concept is out with select customers),,Network with potential Clients and associates,"Given my interests and platforms, I have developed a very diverse professional network of my own. Other than my network, I bring to the table an association opportunity for anyone seeking youth publicity for his product, or looking for event managers (product launches, increasing clientele, destination conference, etc)"
Gurgaon,I am a pushstarter :),"Startup Founder(Product-based), Startup Founder (Service-based)",Food & Financial services,"Operations, Sales","Growth (multiple customer, positive revenue, making profits)",,Networking,Mentoring & leverage my network to assist others
Kolkata,"I'm a freelance designer with a bit of knack in mythology and video games , and want to make my own startup based upon a storytelling agenda for any entertainment field.

I've been working for the past 2 years with ties to several ad agencies, and before that 5 years doing contact freelance for MNC clients.","Startup Founder (Service-based), Working Professional, Freelancer",Design and Entertainment,"Operations, Product Design, Digital Marketing",MVP (proof of concept is out with select customers),,"Connecting for investors,

And progmmers who can help me out with my concepts and paint me a clearer picture for my need in that part.","Help building a pipeline for any entertainment production, digital marketing"
South Delhi,"I am Deepti Chauhan, CoFounder and CMO of Rank Me Online, a brand monitoring and analytics platform which gathers data from all over the web and provides insights to brands depending upon their requirements. I have 4 years experience working with Cognizant, AkzoNobel, and Samsung. I am a computer science graduate from DCE, batch of 2012 and MBA graduate from IIFT, batch of 2017. ",Startup Founder(Product-based),"AI/ML, Digital Marketing/Branding, Saas","Sales, Digital Marketing, Business Development, Data Analysis",Early Traction,,Connections and advisors,Marketing services and consulting
Pune,I train professionals as well as students from all fields in Mandarin language. I also have an institute in Pune where I conduct classes.,"Startup Founder (Service-based), Freelancer","Colleges, schools",Teaching,Early Growth (seeking seed/angel funding),pushconnect,Connections to grow business,Provide training in Soft Skills
"Vadgaon bk, Pune.","I'm (https://www.linkedin.com/in/malavwarke) in my final year of computer engineering and at the same time I have my startup (Creatosaurus: http://creatosaurus.in) and I also make YouTube videos for my channel (https://youtube.com/malavwarke). I was one of the five core heads (now mentor for the team) for the Entrepreneurship cell of Sinhgad College, Pune since last two years where we conduct ""E-conclave"" our flagship yearly event and numerous meetups for the young entrepreneurs on full-scale development of startups and also provided the support system for budding entrepreneurs.","Under-Graduate Student, Startup Founder(Product-based)","AI, Marketing, Branding and Advertising.","Product Development, Digital Marketing, Community building, Research and Business Development",Done with ideation right now we are building MVP.,"video creation, youtube expert","As I'm working on an early-stage startup any kind of help will be appreciated, mention specific then networking, mentoring, funding and getting connected with other businesses.","PushStart community has been a great help to me thus any support within my reach I can provide then surely I'll be happy to contribute. Apart from that few specific to mention that is any business need any kind of help from the Sinhgad College, Pune I can be the go-to person whether it be recruiting, events, sponsorship or any other help, other areas digital marketing, research, and business development. I'm also the mentor (earlier used to be head) of E-cell of Sinhgad College thus I can help PushStart community to get connected with young entrepreneurs of Pune as not just my college but I'm in contact with every e-cell of Pune thus effective reach for push start can be increased. I'm also the Campus Ambassador for YourStory. My network, team, and experience on the field will surely be helpful for the community."
PUNE,"I graduated from BITS Pilani Goa Campus in EEE in 2016, quickly realised that a job is not for me and started a company. Have always been inquisitive and curious when it comes to science. ","Startup Founder(Product-based), Startup Founder (Service-based)",AI,Since I am currently the CEO of the company so I am wearing many hats.,Ideation (brainstorming around few ideas),,Network building and help in connections,We can help other companies who are venturing into the AI space by helping them create their products since we are an AI/ML consultancy.
"Thane, Maharashtra","Educator with 11+yrs of experience as a Teacher, Curriculum designer & Product manager of a kid's app-AppyStore. Parenting Blogger and Vlogger. Write and narrate stories for kids.

Good understanding of customer insights and using them in the Product development. Have created a moms community AppyMoms (15k moms) and city based whatsapp group.


Would be happy to help new startups in building customer insights, product development or community building.""",Working Professional,Education (Ed-Tech),"Product Development, Community building, Training & Counselling (related to education)",Early Growth (seeking seed/angel funding),,I am an aspiring entrepreneur. Would love to network with entrepreneur so that I can understand the dynamics of a startup.,"1. Give them access to share their product/service with moms of my connection or may be do a live video  with them if the stuff is useful for moms.

2. Meet them as a consultant and help them in getting customer insights and suggest how to use them in product development.

3. Can help in community building for their brand.
"
Mumbai,"I run a PR firm Glocal Brand Solutions, which specialises in startups of all segments. I am a learner and each person I meet inspires me. I love to clean, cook & read and spend time in soul searching ",Startup Founder (Service-based),"Agri Tech, Fin Tech, Health Tech, Food Tech, VR, AR, AI, Blockchain,  Lifestyle, Education, Hospitality ",Help brands create their identity ,"MY start-up is at growth stage, but not looking for funding ",,"Knowledge of various sectors, understanding challenges faced by startup",Through my experience 
"Kandivali Lokhandwala, Mumbai",I am an educationist and have been in this field since 35 years. I am very passionate about teaching and education. I enjoy reading but have little time to indulge myself recently. I enjoy watching serials on Netflix and do so once in a while.,Startup Founder (Service-based),Education,I enjoy teaching children.,Early Growth (seeking seed/angel funding),,"I find as a teacher of many years, I am really poor at business. I have a lot to learn. I also need to raise funds to grow my business.",Not sure.
