,About your interest,Briefs and Interests,Stage of your startup/Employer?,Specific Connect,Reason for specific connect,Helping for others,area,city,expertise0,expertise1,expertise2,expertise3,expertise4,startup1,startup2,startup3,startup4,startup5,startup6,startup7,startup8,startup9
169,nan,"Startup Founder, Working Professional, freelancer",Ideation (brainstorming around few ideas),,No,Sales,Ahmedabad,,Operations, Sales, Digital Marketing,,,Services,,,,,,,,
170,nan,"Startup Founder, Angel Investor, Mentor","Growth (multiple customer, positive revenue, making profits)",,Angel funding,"Mentoring, connects to experts in my network",Bangalore,,Product Development, Innovation,,,,Agri Tech, AI,,,,,,,
171,nan,Working Professional,Don't have a startup,,,"I would like to help startups in Product development, Architecture guidance ",HYDERABAD,,Product Development,,,,,Blockchain, IoT,,,,,,,
172,nan,Working Professional,Don't have a startup,,Need to know about Agriculture startups,Agri startup,Bangalore,,Product Development,,,,,Agri Tech, Food Tech, AI,,,,,,
173,digital marketing professional cofounder the digital vibes,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Networking and knowledge sharing,through digital marketing activities,Bengaluru,,Digital Marketing,,,,,AI,,,,,,,,
174,nan,"Post-Graduate Student, Startup Founder",Early Growth (seeking seed/angel funding),,"Making connections, being part of the community, getting to do lots more","I'm a Full Stack Dev, into Product Development & also into Solutions ",New Delhi,,Product Development, Product Design,,,,Health Tech, AI, Blockchain,,,,,,
175,nan,VC,Don't have a startup,,Looking for startups to invest in,Looking for startups to invest in,Bangalore,,Community building,,,,,Health Tech, Food Tech, AI, Blockchain,,,,,
176,nan,"Working Professional, Startup",Ideation (brainstorming around few ideas),,Some advice or information related to the ideas to start ,"If any specific information required regarding travel and food genre, will try to provide that",Mumbai,,Digital Marketing,,,,,Food industry, travel industry,,,,,,,
177,nan,Under-Graduate Student,Don't have a startup,,I’m new to the pushstarters.,"Foremost Give and then you will Get in return, first share the knowledge, ideas to help others it’ll definitely take us to the next better level ",Jajpur, Orissa ,Sales, Digital Marketing,,,,Business analyst ,,,,,,,,
178,nan,Startup Founder,Early Growth (seeking seed/angel funding),,Network with fellow entrepreneurs,Advise fellow members to help grow,Thane,,Operations, Product Development, Product Design, Digital Marketing,,Agri Tech, Fin Tech, Health Tech, VR, AR, AI,,,
179,nan,Startup Founder,Early growth,,Marketing support ,Quality leads for others,Chennai,,Operations,,,,,Energy solutiins,,,,,,,,
180,writing  coaching people  mentoring  hr,"Startup Founder, Mentor",Ideation (brainstorming around few ideas),pushconnect,Would like to get connected for networking and knowledge sharing,By sharing my knowledge and network if they need any help,PUNE - BANER,,Sales, Digital Marketing,,,,Fin Tech,,,,,,,,
181,nan,"Startup Founder, Working Professional, freelancer","Growth (multiple customer, positive revenue, making profits)",,Tips,Sharing experience,Bangalore,,Product Development, Digital Marketing,,,,IT,,,,,,,,
182,i am film maker yoga teacher mom of two who has recently launched a youtube channel called joygeeks,freelancer,Don't have a startup,,I’d like to connect with relevant people to create great content ,By helping people in my area of expertise ,Goregaon, Mumbai,Creative direction ,,,,,Media, health and beauty,,,,,,,
183,nan,Working Professional,Ideation (brainstorming around few ideas),,Community support,"Technical expertise, connecting people ",Gurgaon,,Product Development, Product Design,,,,Fin Tech,,,,,,,,
184,life coach career coach social entrepreneur,"Startup Founder, Working Professional, Mentor","Growth (multiple customer, positive revenue, making profits)",,I am already seeing a great information being shared by community,By sharing views on Importance of Leadership,Chennai,,Leadership,,,,,Education,,,,,,,,
185,nan,Startup Founder,Early Growth (seeking seed/angel funding),,More Customers,Business and Investment Advise,Hyderabad,,Sales, Investing, Business Analysis ,,,Fin Tech,,,,,,,,
186,nan,Startup Founder,MVP (proof of concept is out with select customers),,"Networking ,Promotion etc ","For Startups we provide the services like firm registration, other labor and HR related activites ",Hyderabad ,,HR,,,,,Human Resources ,,,,,,,,
187,lawyer with focus on business and corporate law advisory practice focus on startups smes and business focussed individuals also active and interested in business management consulting,Working Professional,Early Growth (seeking seed/angel funding),,"Build network, connect to potential clients","I like to solve problems, manage resources and connect people.

I am good at sourcing cost-effective solutions.

I can help bring more structure, organization, formalization and standardization of business practices. 
",MUMBAI,,Sales, Digital Marketing, Community building, Legal and management consulting,,Legal consulting, management consulting, business optimization,,,,,,
188,web developer wordpress,"Under-Graduate Student, Working Professional",Don't have a startup,,No,"I will help in building viable product, with customer validation and satisfaction.",New Delhi,,Product Development,,,,,Food Tech, Food And Beverages company,,,,,,,
189,nan,Working Professional,Ideation (brainstorming around few ideas),,No,Sharing the ideas & Giving the advice from expertise knowledge of finance,Thane,,Finance,,,,,Agri Tech, Fin Tech, Food Tech,,,,,,
190,gitanjali cofounder and coo at farmizen founder and ceo at greenmylife,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Network,Mentoring,Bengaluru,,Operations, Sales, Community building,,,Agri Tech,,,,,,,,
191,an enthusiastic data scientist looking for a community for my startup,"Under-Graduate Student, Startup Founder, Mentor, freelancer",Ideation (brainstorming around few ideas),,Board of Members and incubation,Ideation,Chennai,,Product Development, Product Design,,,,AI, ML,,,,,,,
192,edtech non profits  music,"Under-Graduate Student, Startup Founder, freelancer",Ideation (brainstorming around few ideas),,"Just healthy and clean community building,supporting members. ",Will help them connect anyone in nagpur. Can help them for surveys for developing product etc. ,Manglore,,Operations, Product Development,,,,Ed tech(k12) ,,,,,,,,
193,nan,freelancer,Don't have a startup,,na,Can help with any SEO or link building activities,Vijayawada,,Digital Marketing,,,,,Seo,,,,,,,,
194,nan,Under-Graduate Student,MVP (proof of concept is out with select customers),,Marketing and Growth hacking,"Is money really Required to start a business, untill MVP? If you say Yes! I can say no and show you a 100 ways to lead a successful MVP stage with spending nothing from your pockets. 

All thanks to Neeraj Bhai for teaching me the art, would <3 to spread to many first timers :)",Bangalore, Hebbal,Operations, Sales,,,,Food Tech, Edtech,,,,,,,
195,nan,Under-Graduate Student,Ideation (brainstorming around few ideas),,Making some good connections with anyone involved in start-up ecosystem,"Marketing is my skill. Anything involving it, I can take care of it.",HYDERABAD,,Digital Marketing,,,,,Marketing,,,,,,,,
196,nan,Startup Founder,Early Growth (seeking seed/angel funding),,no,hardware tech guidance,LUCKNOW,,Product Development, Product Design,,,,robotics,,,,,,,,
197,majored in economics from delhi university currently working as marketing communication executive at a fintech startup redcarpet tech pvt ltd delhi interests doodle nature photography nano tales and poetry,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,"To meet and interact with the young minds from the diverse market;
Get directed and engagements into every other dimensions which is still in my bucket to check.","Finding myself in the mid of Finance and Marketing interests, I have explored professionals and deep dived into both realms and hence, landed into the marketing department of a Google and Y Combinator funded FinTech startup.
So, this can bring good discussions with other push starters, I would say!",New Delhi,,Digital Marketing, Marketing Communication,,,,Fin Tech,,,,,,,,
198,nan,Aspriring entrepreneaur,MVP (proof of concept is out with select customers),,Market understanding ,Business operations in Spain,Surat,,Sales, Product Development, Product Design, Community building,,Health Tech,,,,,,,,
199,enterprising inclined towards technology and product development,Startup Founder,Early Growth (seeking seed/angel funding),,"Digital marketing, community building, product/strategy validations and marketing.",Business modelling/ sales/ Product Cycle,Bengaluru,,Operations, Sales, Product Development, Product Design,,AI, EdTech and Automation,,,,,,,
200,interested in dl and ai product developer aiming to become an end to end developer,Under-Graduate Student,Don't have a startup,,I am looking for connections in people interested in AI and DL product development. I am also looking to start my career in this field.,I have a very deep understanding in DL and AI development. I am also verse in competitive coding. I might lack experience but I can definetly help the others if they are confused or facing problems in the same.,Roorkee,,Product Development,,,,,AI,,,,,,,,
201,backend developer tech startup,Under-Graduate Student,Don't have a startup,,A software development job,If someone has a idea we can work together I can provide tech support,Roorkee uttarakhand,,Product Development,,,,,AI,,,,,,,,
202,nan,Startup Founder,Own Comapny,,I am new,"We can help other for design their own project , product or manufacturing things",Mumbai,,Sales, Product Development, Product Design, Manufacturing ,,We are specialist in Electronic and Mechanical product manufacturing and production and 3d Printer ,,,,,,,,
203,i own a homestay and an organic farm near kamshet lonavala love meeting people and listening to interesting ideas,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,No ,"To be able to offer them valuable land expertise, capitalizing on exisiting property as a profit making venture etc",Mumbai ,,Operations,,,,,Agri Tech,,,,,,,,
204,i started my career in 2005 with icici bank in the international private banking products division leading alternative investments as an asset class i helped raise usd 400 mn for two pe funds icici venture and jm financial through icici banks network post that i founded crepeteria  a chain of quick serve restaurants got seed funded and ran it for 4 years expanding it to 3 cities with multiple format outlets through franchising route post crepeteria exit i have been on the investments side first in a boutique investment bank and then joined motilal oswal pe fund mope on the investments side at mope have been instrumental in 2 exits for the fund which has given mocs of 17x dixon technologies  ipo exit and 7x minda industries  secondary market sale and have invested usd 15 mn in 2 companies was on the board as an observer for 3 portfolio companies my latest venture is gemba capital  which does angel investments i have been on all the three sides of a transaction  an entrepreneur banker and an investor,"Angel Investor, VC",Early Growth (seeking seed/angel funding),,"Relationships and access to network, references","Network, references, fund raising, positioning, mentoring, brainstorming",Andheri, Mumbai,Operations, Sales, Product Design,,,Food Tech, Sector agnostic,,,,,,,
205,nan,"Startup Founder, Working Professional, Mentor","Growth (multiple customer, positive revenue, making profits)",,Healthy discussion,Contributing wherever possible during th3 journey,Faridabad,,Operations, Product Design,,,,Food Tech, Education,Creativity,Innovation,Design,,,,
206,nan,freelancer,Don't have a startup,pushconnect,Networking opportunities ,"Content marketing, Social media marketing, Blogging",Pune,,Content Marketing,,,,,Travel & Lifestyle,,,,,,,,
207,nan,"Under-Graduate Student, Startup Founder",Ideation (brainstorming around few ideas),,I want to build connections and get informed advice as we progress with our prototyping phase.,"I am happy to help in any way I can. If need be, I am happy to share my connections, as required, as well.",Hyderabad,,Operations, Product Development, Product Design, Marketing,,Marketing,,,,,,,,
208,open to collaborating on building an online resource which will be good for all community members eg http50problems50dayscom big bold projects which bring people together  count me in for that currently buidling a foodiecentric community in bangalore for foodies  curating all the musteat places bandis dhabas in bangalore,"Working Professional, freelancer",Early Growth (seeking seed/angel funding),,"People who are passionate about the food in bangalore, please connect me!

I want to be an engaged community member. I feel like I am forgetting that as a community manager.
 
Find people & align interests --> Collaborate on big bold projects for community ","Find people & align interests --> Collaborate on big bold projects for community.

Giving value in terms of info, network & discussion is what I do by default; This also keeps me relevant in my job as a community manager",Bangalore,,Community building,,,,,Food Tech,,,,,,,,
209,founder us india blockchain council  brand india magazine,"Angel Investor, Mentor","Growth (multiple customer, positive revenue, making profits)",,Network with mentors and investors for US India Blockchain Innovation Fund ,"Meetups, Mentoring, PR & Marketing ",Mumbai,,Product Development, Digital Marketing, Community building,,,Agri Tech, Fin Tech, Blockchain,,,,,,
210,nan,"Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,I have designed and launched my product in need consultation for the right market pickup,I can help in designing the concept.,Delhi,,Sales, Product Development, Product Design,,,Parking management softwares,,,,,,,,
211,digital marketing expect,"Post-Graduate Student, Startup Founder, freelancer",MVP (proof of concept is out with select customers),,Networking ,Digital marketing ,Mumbai,,Digital Marketing,,,,,Fin Tech, Health Tech, Food Tech,,,,,,
212,nan,Startup Founder,close to MVP,na,"Nothing specific, but hopefully a lot of feedback and suggestions.","Increasing productivity, questions related to web development, life coaching",Pune,,Product Development,,,,,Building Software Tools / Productivity tools,,,,,,,,
213,an education management and entrepreneurship expert with a proven track record of building education start upsfledgling education units into healthy organisations,"Working Professional, Mentor","Growth (multiple customer, positive revenue, making profits)",,Networking ,Open to mentoring education amd related start ups ,Navi Mumbai,,Operations, Sales, Digital Marketing, Community building, Complete Education Strategic Planning and implementation,Eduucation ,,,,,,,,
214,i am an educationist aim to get myself and others empowered,"Startup Founder, Working Professional, Mentor",Don't have a startup,,Building a network of educational enthusiasts like me to collaborate.,many startups on pitching and connecting with investors. Would also love to discuss the educational scenario in India and world.,NEW DELHI,,Operations, Community building,,,,Education Technology,,,,,,,,
215,distributed ledger trading web dev social entrepreneurship writing,Just graduated and building startup founded by my friend.,"We are ready with the product. Looking for implementing brain storming solutions to market our product but at the same time keep it in expensive, since we don't have investment.",,"We would just help to be guided and supported like a child in a family. Get suggestions from people how to sell our service and create our starting userbase without marketing.
We are truly focused on answering  "" why people need our service"" and want to circulate this message. At the same time we want to avoid any mistakes whivh effect our service.","Once i learn from community, i believe i can help other. Any other help if I could provide as my service grows I would love to provide in upcoming time. ",Delhi,,Student and exploring,,,,,Agri Tech, Food Tech, Blockchain, Waste management, music therapy and edtech,,,,
216,having 9 years of entrepreneur experience providing it  ites service worldwide,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,observation and help young buddy entrepreneurs,Share my knowledge and entrepreneur experience to all,Chennai,,Operations, Sales,,,,Fin Tech, Health Tech, Food Tech,,,,,,
217,i am uiux designer with more than 10 exp,"Working Professional, freelancer",Don't have a startup,ui/ux expert,I am Freelancer product designer and web and UI/UX designer ,I am Creative product designer and web and UI/UX designer I can help new startups to shape there Ideas in to design and make there product working and beautiful ,PUNE,,Product Design,,,,,Product Designing, web and UI/UX designing,,,,,,,
218,nan,Startup Founder,MVP (proof of concept is out with select customers),,Connect with like minded people and exchange more business. ,I've worked with Education sales and marketing for last 8 years with fair amount of connect in this industry. Which can surely help many start ups. ,Mumbai,,Sales, Product Development,,,,Education,,,,,,,,
219,nan,Working Professional,Don't have a startup,,Planning to start something of my own for which I'm seeking help and ideas,Current industry knowledge and awareness of the Indian startup scene is something that let's me advise people,Gurgaon,,Analytics,,,,,Blockchain,,,,,,,,
220,an industrial designer with 9 years of experience working on his second start up,"Startup Founder, Working Professional",Early Growth (seeking seed/angel funding),,Online and offline marketing advice ,"Anything related with product, interface, packaging design",Juhu, Mumbai,Product Design,,,,,Product engineering ,,,,,,,,
221,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,"Need help with pricing the SaaS products right, Pitching to enterprise / MNC / Large corporates and winning deals. ","We've 500+ clients from MSME segment across Bangalore and India. If anyone wants to associate with us to leverage our network, we can connect. ",Bangalore,,Operations, Sales, Product Development, Digital Marketing,,Food Tech, AI,,,,,,,
222,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,To build network ,"Mentor ship , IT consultation ",Indore,,Operations, Product Development, Community building,,,Health Tech, AI,,,,,,,
223,nan,Startup Founder,AI consulting firm,,Network ,Expert at building ai soultions for startups ,Mumbai,,Sales, Product Development, Product Design,,,AI,,,,,,,,
224,nan,"Working Professional, freelancer",Don't have a startup,,Opportunities to help them ,I can help produce videos and content which can help them grow,Bangalore,,Digital Marketing, Photography, Production and Direction,,,Media and media production,,,,,,,,
225,nan,"Post-Graduate Student, Startup Founder, Working Professional",Don't have a startup,na,,Many ways ,Pune ,,Operations, Sales,,,,Hospitality ,,,,,,,,
226,i am a 4th year engineering student in my 2nd year of engineering i decided that i have to do something different that too in field of travel and tourism since then i have been pushing myself towards learning to keep myself occupied i write at httptheindianrovercom travel and tourism being center of my all works i am trying to build something in startup digital marketing blogging reality shows around the domain,"Under-Graduate Student, Startup Founder, freelancer",Ideation (brainstorming around few ideas),,"I want to learn more about building a MVP out of my idea, developing it to get it eligible for the seed funding. I am also looking for team building if possible.","Whatever I have learnt in past 2 years or what I am still learning, I will be happy to share with the fellow members. Also, I think my queries will relate to many other pushstarters and they will too learn by following my #AskPS threads.",Delhi-NCR," Living currently in Indirapuram, Ghaziabad",Product Development, Digital Marketing,,,,VR, Travel and Tourism, Game Development, Digital Marketing, Blogging,,,,
227,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",,Leads and Digital Marketing,Guiding them on Sales,Bangalore,,Operations, Sales,,,,Sales Tech,,,,,,,,
228,nan,"Working Professional, Mentor, freelancer",Don't have a startup,,Networking and knowledge sharing,"Knowledge sharing, Mentorship",Mumbai,,Operations, Sales, Digital Marketing, Community building, Strategy,E-commerce,,,,,,,,
229,spirituality and every thing marketing and brand building,Working Professional,Early Growth (seeking seed/angel funding),,Mentorship,Help other startups with Marketing strategy and advice ,Mumbai,,Sales, Digital Marketing, Community building,,,Edtech and marketing ( FMCG) ,,,,,,,,
230,nan,Startup Founder,"Growth (multiple customer, positive revenue, making profits)",na,Not at the moment. Want to engage with the community.,"Product feedback, sharing relevant experience in building Cutshort",Pune,,Product Development, Product Design, Graphic design,,,AI,,,,,,,,
231,getting to know how to build a start up from scratch,Working Professional,Ideation (brainstorming around few ideas),,Guidance on the idea i am building upon and how to go ahead with it ,Help them with my ideas and experience ,Bangalore,,Digital Marketing,,,,,Pet Service ,,,,,,,,
232,founder at exposit an ar vr 360 based startup  an engineering student and love to do social activities on weekends ,"Under-Graduate Student, Startup Founder, freelancer",Early Growth (seeking seed/angel funding),,Connection and  networking,To be active member of Fb and whatsapp group and any volunteer work needed in Ahmedabad :),Ahmedabad ,,Operations, Sales, Product Development, Digital Marketing,,VR, AR,,,,,,,
233,nan,Working Professional,Ideation (brainstorming around few ideas),,investments,share my knowledge and create a better community,delhi,,Operations, Product Design,,,,Fin Tech,,,,,,,,
234,nan,Startup Founder,Ideation (brainstorming around few ideas),investor,Connection with people specially investors,I have good knowledge of product development. I have been engineering head for a startup and i can handle engineering team well.,Pune,,Product Development,,,,,Fin Tech,,,,,,,,
235,running two companies one a mobile development company and two a mobile advertising company i am full stack tech enthusiast likes to hack new tech over weekends,Startup Founder,MVP (proof of concept is out with select customers),,"Seeking people with diverse skills who can mentor/help us with the direction of the product, Also we'll start seeking investment too thereafter.","I can help with Product strategy, Helping suggest tech stacks,How to build for the mobile. How to reach mobile users in an effective manner.",Gurgaon/Bangalore/Mumbai,,Sales, Product Development, Digital Marketing,,,Mobile Tech,,,,,,,,
236,strong believer of be the change philosophy avid networker nurturer who loves building new solutions propagator or lean and effectuation principles in entrepreneurship while focusing currently on the launch of my products in the healthcare and wellness domain,"Startup Founder(Product-based), Mentor",Early Growth (seeking seed/angel funding),mentor into health and wellness,"Learning from their experiences, peer support, trustworthy and unbiased guidance ","Share a good network in the ecosystem and wonderful peers through the diverse segments. Can extend support wherever I can in terms of knowledge, experience and expertise through my past successes and failures both",Pune, Kharadi,Product Development, Community building,,,,Health Tech, Healthcare and Wellness,,,,,,,
237,founder  ninja videos,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",fb & pushconnect,Knowledge/connections,With my expertise on visual storytelling and Digital Marketing,Pune/Kolkata,,Operations, Sales, Digital Marketing,,,Video Marketing,,,,,,,,
238,cofounder of a it services provider comany which specialises in supporting entrepreneurs and startups services include web android development digital marketing etc my core team is also working for building our own products,"Startup Founder(Product-based), Startup Founder (Service-based)",Ideation (brainstorming around few ideas),mentor into tech,"Idea validation, connections","Brainstorming, tech advice, tech support - even for free when I can spare time.",Wakad, Pune,Product Development, Digital Marketing,,,,AI,,,,,,,,
239,born and brought up in kolkata an aeronautical engineer by chance and an entrepreneur by choice i have 10 years of retail experience satrting with my own chain of restaurants by the name of todos which sadly failed and had to be franchised to currently working with airstacks network as a cofounder and sales head and along with that building my own product line under the banner name c32 media labs i am extremely passionate about learning new things whether it be coding or talking clothes my forte is definitely sales as im usually fascinated by innovation an in turn become an evangelist for one,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",pushconnect,Networking specifically,"Hoping with my experience and PR in the market,  be it Pune or Pan India I could help people with right contacts . ",NIBM,  Pune ,Sales, Digital Marketing, Community building,,,Food Tech, AI, Blockchain, Iot ,,,,,
240,i am the founder of digital solitaire we provide our services for the web development and digital marketing my interests are into it and digital marketing industry,Startup Founder (Service-based),Early Growth (seeking seed/angel funding),digital marketing expert,"To collaborate with people in the same industry, for handling bigger projects. ","I can contribute by sharing my experiences in the market, while dealing with clients, market research and other business development aspects. ",Warje, Pune,Sales, Digital Marketing,,,,Digital Marketing Industry ,,,,,,,,
241,core engineering background with masters in industrial engineering and now pursuing the journey of entrepreneurship and trying to build value in the ecosystem through chatur ideas,Working Professional,"Growth (multiple customer, positive revenue, making profits)",,No,Add value by bringing opportunities and leverage connections in Chatur Ideas. ,Mumbai,,Operations, Sales,,,,Fin Tech, Enabling startups from all the sectors by leveraging Chatur Ideas network,,,,,,,
242,i have around 12 years of it experience during this tenure have worked with mncs like persistent zensar to name few i started my journey towards a healthy lifestyle due to my personal pain points and now working on a platform which has a team of nutritionist to help others to stay fit by prescribing customized sustainable programs,Startup Founder(Product-based),MVP (proof of concept is out with select customers),pushconnect,Networking ,IT front,Pune,,Product Development,,,,,Health Tech,,,,,,,,
243,interests  1 travel 2 entrepreneurship,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),investor,"Angel investors, collaboration","Product knowledge, Web tools building",Pune,,Operations, Sales, Product Development, Product Design,,VR, AR, AI, Blockchain, SaaS, tourism and hospitality,,,
244,i am the founder of an edtech startup skillovate learning pvt ltd wwwskillovatecom with over 9 years of professional experience in varios domains like operations business development strategy education i like to learn about new startups and their business models in addition i like meeting new people,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),investor & edtech mentor,"Investors, Collaborators, Customers, Team Members",I can help by providing relevant connects and guide other startups in my area of expertise.,Baner, Pune,Operations, Product Development,,,,Edtech,,,,,,,,
245,im an engineer by a developer by chance and an entrepreneur by choice founded savior at the age of 19 while i was in first year of my college entrepreneurship exites me and lets me discover myself,Startup Founder(Product-based),"Growth (multiple customer, positive revenue, making profits)",web development expert,Looking towards fellow entrepreneurs to help me and collaborate to scale Savior on a bigger level. ,"I can be a great help for sales and product development which fellow Pushstarters can take advantage of. 
Also have expertise in blockchain, one of the emerging tech. Where I can help ppl out ",Pune,,Sales, Product Development,,,,Health Tech, Blockchain,,,,,,,
246,product designer founderdesign directorprodotype,"Startup Founder(Product-based), Startup Founder (Service-based)","Growth (multiple customer, positive revenue, making profits)",,Approach me for Product Design and Development. Client acquisition help by connecting me with required brands/companies. ,I am soon launching an exclusive Push Deal for Pushstarters. Pushstarters will be eligible for a discount of 10 percentage for the Product Design Services done by Prodotype. ,Puducherry,,Product Development, Product Design,,,,Product Design and Development,,,,,,,,
247,pavan chaudhari  exaccenturite have worked for client google in digital marketing for its large scale consumer technology segment in the us curently founder of digital flame a digital marketing agency in pune india,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",Pushconnect,"Networking, The wonderful AMA's & FB Lives",Assiting them in referrals and connects in the city and around,Pune,,Digital Marketing,,,,,Agri Tech, Health Tech, Food Tech,,,,,,
248,engineer educationist entrepreneur working towards creating an ecosystem for developing life skills through phygital activities for the young mind,Startup Founder(Product-based),Early Growth (seeking seed/angel funding),product development expert,Growth. Networking. Marketing,Sharing my experiences,Sinhagad Road Pune,,Product Design,,,,,Education ,,,,,,,,
249,a 22 year old entrepreneur cofounded a chai startup currently working on an environment based startup a tedx speaker and also take branding workshops,"Post-Graduate Student, Startup Founder(Product-based)",Ideation (brainstorming around few ideas),offline store expert & pushconnect,Connections ,I have a lot of investor connections. Might be useful for the community. ,Pune ,,Sales, Product Development, Product Design,,,Social Entrepreneurship,,,,,,,,
250,nan,Startup Founder (Service-based),Early Growth (seeking seed/angel funding),travel expert,Help in the ways to interact with other people and take their advice in overall growth of my company ,Bu sharing the knowledge in different aspects which i have gained through my journey ,Pune,,Operations, Digital Marketing,,,,Travel and events,,,,,,,,
251,high ticket closer  seed investor  data storyteller  visualisation artist  ux designer  visiting faculty,"Startup Founder (Service-based), Working Professional","Growth (multiple customer, positive revenue, making profits)",Pushconnect,Be accessible to the startup ecosystem. ,"Help them with both product ideation, design, digital marketing and sales. ",Pune,,Sales, Product Design, Digital Marketing,,,Fin Tech, Food Tech, My expertise is in the representation of Data,,,,,,
252,phd at iit b monash founder foreignadmits viaspeak  phabio upcoming mentor  atal innovation mission areas i am working on education technology events  speaker saas waste management pha plastic replacement,"Post-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based), Mentor, Freelancer",MVP (proof of concept is out with select customers),,"Technology & Marketing support, Partnerships with related businesses, access to communities","Network, Fundraising guidance, Branding, Product development ideation",Mumbai,,Sales, Product Design, Digital Marketing, Fund Raising,,Food Tech, Education Technology, SAAS, ,,,,,
253,im into digital marketing and content writing since 3 years i consult startups regarding social media marketing for free im launching my digital agency named  digital keval by january 2019  website will be  wwwdigitalkevalcom every thing about digital marketing and cryptocurrencies fascinates me,"Startup Founder (Service-based), Working Professional, Mentor, Freelancer","Growth (multiple customer, positive revenue, making profits)",pushconnect,"Will love to connect with Startup founders, also will love connecting with fellow digital marketers and Cryptocurrency geeks. ",Through connecting entrepreneurs. ,Pune,,Digital Marketing,,,,,Blockchain, Digital Marketing,,,,,,,
254,art entrepreneur and tech consultant,"Startup Founder(Product-based), Freelancer",MVP (proof of concept is out with select customers),art expert,Partnering with interesting people for growth and business advice.. ,"Adept in quote a few programming languages and I am building a clothing company from ground up so lot of on-ground experience in the art, design, printing and clothing industry.. ",Pune,,Operations, Product Development, Digital Marketing, Community building,,Art, Design and Tech.. ,,,,,,,
255,an entrepreneur fund raiser and an evangelist of indian startup ecosystem,"Post-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based), Working Professional, Angel Investor, Mentor, VC, Freelancer","Growth (multiple customer, positive revenue, making profits)",,"Connection, Hiring, Awesome feeds. ","Connections, Mentoring, Talent development",Colaba, Mumbai.,Operations, Sales, Product Development, Product Design,,Agri Tech, Fin Tech, Health Tech, Blockchain, Fashion, Ecommerce, Lifestyle, Hospitality,
256,entrepreneur at heart vishal has started his first venture named fizzible when he was in the 3rd year of engineering give him a problem and he will come up with the solution other than business endeavors a tech savvy guy follows news economics and finance market he is an open minded guy and loves to talk about politics current affairs science music and sports,Startup Founder (Service-based),Early Growth (seeking seed/angel funding),pushconnect & investor,Networking and customer referral,Can help them to connect with relevant people in my network,Pune,,Operations, Sales, Digital Marketing,,,Blockchain, Golang,,,,,,,
257,i have completed my masters in mechanical  started a venture in edtech space,"Post-Graduate Student, Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),investor,Contributing to PushStart Community & Actively looking for Angel Investment,"Great platform to communicate with fellow entrepreneurs & contributing the leads, validate ideas & connections to share...",Pune,,Product Development, Product Design, Community building,,,Ed Tech,,,,,,,,
258,startup enthusiast love playing guitar,"Startup Founder(Product-based), Startup Founder (Service-based)",Early Growth (seeking seed/angel funding),fitness industry expert,Useful connects and knowledge as and when necessary,Useful connects and knowledge as and when necessary,Pune,,Product Design,,,,,Health Tech, Food Tech, AI,,,,,,
259,cofounder at sector 7  major domains of business technology brand marketing coworking  incubations,Startup Founder (Service-based),"Growth (multiple customer, positive revenue, making profits)",,Helping out fellow entrepreneurs ,"Requirements and mentorship in technology, brand marketing, coworking & business strategy",Pune,,Operations, Sales, Digital Marketing, Community building,,Real Estate, Technology Solution, Marketing,,,,,,
260,an avid reader and learner working on a project of mine which is towards sustainability my interests would be brand management strategic management and product development,"Our product is still under research, thus I consider myself as a learner as of now. But to clarify yes I am a graduate.",Ideation (brainstorming around few ideas),,Connecting with like minded people I can learn from and grow along,"By sharing the insights and challenges and lessons I learnt from my mistakes while working on my projects. I've just started my journey, rather than teaching anyone anything I would love to learn from them.",Thane west ,,Operations,,,,,Food Tech,,,,,,,,
261,i help purpose driven startups and individuals with digital marketing and growth hacking,"Startup Founder (Service-based), Freelancer",Early Stage. But we're not looking for funding,,I offer help. ,I can help them with Marketing and Growth Hacking consultation. I do consultation for free. :),Pune,,Digital Marketing, Community building,,,,Food Tech, VR, AR, AI,,,,,
